Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-02-22,84.790001,85.449997,84.519997,85.120003,72.322289,4490300,1360
2019-02-25,85.290001,85.360001,84.370003,84.449997,71.753014,4956800,1361
2019-02-26,84.57,84.790001,84.050003,84.190002,71.532104,4777100,1362
2019-02-27,83.910004,84.129997,83.150002,83.769997,71.175232,8116400,1363
2019-02-28,83.830002,84.919998,83.519997,83.989998,71.362175,6547100,1364
2019-03-01,83.940002,84.239998,82.82,83.730003,71.141266,10635700,1365
2019-03-04,84.120003,84.199997,83.18,84.110001,71.464134,7103600,1366
2019-03-05,84.07,84.709999,83.900002,84.339996,71.659561,9077500,1367
2019-03-06,84.419998,84.599998,83.849998,83.949997,71.328186,5370800,1368
2019-03-07,84.160004,84.550003,83.550003,83.769997,71.175232,8328500,1369
2019-03-08,83.629997,84.160004,83.489998,83.860001,71.251732,9264800,1370
2019-03-11,84.150002,85.150002,84.010002,85.089996,72.296791,4679300,1371
2019-03-12,85.199997,85.690002,85.110001,85.480003,72.628166,6072500,1372
2019-03-13,85.580002,86.129997,85.580002,85.900002,72.985008,4282900,1373
2019-03-14,85.959999,86.050003,85.620003,86.029999,73.095459,4303200,1374
2019-03-15,86.120003,86.190002,85.610001,85.760002,72.866051,4742200,1375
2019-03-18,85.800003,86.029999,84.919998,85.330002,72.500717,4125300,1376
2019-03-19,85.379997,85.510002,84.809998,85.07,72.279816,6169200,1377
2019-03-20,85.050003,85.860001,84.440002,85.330002,72.500717,6499300,1378
2019-03-21,85.209999,86.889999,85.199997,86.849998,73.792168,6948200,1379
2019-03-22,86.93,87.419998,86.199997,86.220001,73.256897,8769700,1380
2019-03-25,86.25,86.610001,85.75,86.330002,73.350357,6324300,1381
2019-03-26,86.519997,87.059998,86.43,87.019997,73.936615,8576400,1382
2019-03-27,87.139999,87.290001,86.220001,86.769997,73.724205,7252600,1383
2019-03-28,86.349998,87.029999,86.099998,86.989998,74.43959,5600000,1384
2019-03-29,87.07,87.160004,86.57,86.910004,74.371147,13743500,1385
2019-04-01,87,87.029999,85.910004,86.860001,74.328354,8528500,1386
2019-04-02,86.980003,87.550003,86.220001,87.470001,74.850357,10358100,1387
2019-04-03,87.470001,87.739998,86.779999,87.370003,74.764763,5004200,1388
2019-04-04,87.43,87.5,86.800003,87.230003,74.644958,4249100,1389
2019-04-05,87.239998,87.889999,87.099998,87.839996,75.166946,4827100,1390
2019-04-08,87.769997,87.830002,87.07,87.349998,74.74765,4575500,1391
2019-04-09,87.349998,87.480003,86.739998,86.889999,74.354019,3507600,1392
2019-04-10,87.199997,87.769997,87.019997,87.690002,75.038605,4264500,1393
2019-04-11,87.779999,88.089996,87.279999,87.629997,74.987259,2925600,1394
2019-04-12,87.589996,88.080002,86.970001,88.050003,75.346672,4148900,1395
2019-04-15,88.099998,88.139999,87.370003,87.599998,74.961601,3468900,1396
2019-04-16,87.620003,87.660004,85.279999,85.620003,73.267258,7256100,1397
2019-04-17,85.910004,86.029999,84.559998,84.839996,72.5998,6121300,1398
2019-04-18,85.110001,85.669998,84.580002,85.489998,73.156006,4827400,1399
2019-04-22,85.389999,85.690002,83.779999,84.550003,72.351616,5012000,1400
2019-04-23,84.919998,85.790001,84.519997,85.669998,73.310036,4692300,1401
2019-04-24,85.970001,86.559998,85.660004,86.300003,73.849144,4853800,1402
2019-04-25,86.080002,86.349998,85.470001,86.120003,73.695122,3732500,1403
2019-04-26,86.279999,86.870003,86.129997,86.800003,74.277008,3109400,1404
2019-04-29,86.709999,86.970001,85.849998,85.949997,73.549629,4280600,1405
2019-04-30,86.019997,86.949997,85.480003,86.769997,74.251335,5541400,1406
2019-05-01,86.769997,87.830002,86.720001,86.839996,74.311241,7675800,1407
2019-05-02,86.879997,87.779999,86.669998,86.93,74.38826,5675900,1408
2019-05-03,87.239998,87.790001,86.93,87.669998,75.021477,4678400,1409
